setting,iteration,map50_mean,map50_sem
YOLOv4 default,1392,0.30583333333333335,0.007880848798053276
YOLOv4 default,1393,0.30583333333333335,0.007880848798053276
YOLOv4 default,1394,0.30583333333333335,0.007880848798053276
YOLOv4 default,1395,0.30583333333333335,0.007880848798053276
YOLOv4 default,1396,0.30583333333333335,0.007880848798053276
YOLOv4 default,1397,0.30583333333333335,0.007880848798053276
YOLOv4 default,1398,0.30583333333333335,0.007880848798053276
YOLOv4 default,1399,0.30583333333333335,0.007880848798053276
YOLOv4 default,1400,0.33033599999999996,0.005784419225624793
YOLOv4 default,1401,0.33033333333333337,0.011577324580594787
YOLOv4 default,1402,0.33033333333333337,0.011577324580594787
YOLOv4 default,1403,0.33033333333333337,0.011577324580594787
YOLOv4 default,1404,0.33033333333333337,0.011577324580594787
YOLOv4 default,1405,0.33033333333333337,0.011577324580594787
YOLOv4 default,1406,0.33033333333333337,0.011577324580594787
YOLOv4 default,1407,0.33033333333333337,0.011577324580594787
YOLOv4 default,1408,0.33033333333333337,0.011577324580594787
YOLOv4 default,1409,0.33033333333333337,0.011577324580594787
YOLOv4 default,1410,0.33033333333333337,0.011577324580594787
YOLOv4 default,1411,0.33033333333333337,0.011577324580594787
YOLOv4 default,1412,0.33033333333333337,0.011577324580594787
YOLOv4 default,1413,0.33033333333333337,0.011577324580594787
YOLOv4 default,1414,0.33033333333333337,0.011577324580594787
YOLOv4 default,1415,0.33033333333333337,0.011577324580594787
YOLOv4 default,1416,0.33033333333333337,0.011577324580594787
YOLOv4 default,1417,0.33033333333333337,0.011577324580594787
YOLOv4 default,1418,0.33033333333333337,0.011577324580594787
YOLOv4 default,1419,0.33033333333333337,0.011577324580594787
YOLOv4 default,1420,0.33033333333333337,0.011577324580594787
YOLOv4 default,1421,0.33033333333333337,0.011577324580594787
YOLOv4 default,1422,0.33033333333333337,0.011577324580594787
YOLOv4 default,1423,0.33033333333333337,0.011577324580594787
YOLOv4 default,1424,0.33033333333333337,0.011577324580594787
YOLOv4 default,1425,0.33033333333333337,0.011577324580594787
